name_eng,cut_point,elev_m
Orcadas,-34.40531344,8
Edgeworth David,39.58695302,15
Melchior,-38.59515454,4
Arturo Prat Antarctic Naval Base,-39.88079724,5
Signy,-34.95327171,5
Decepcin,-39.62289997,7
O'Higgins,-38.03503036,12
Rada Covadonga,-38.03476904,13
Risopatrn ,-40.02973394,15
Brown,-37.75931763,22
San Martn,-34.31462682,5
Gabriel Gonzlez Videla,-37.85548281,6
Esperanza,-37.55538855,25
Petrel,-37.1199361,18
Cmara,-39.83027472,22
Carlini,-39.78680126,10
Mawson,33.91139994,15
Dumont d'Urville,25.46275969,42
Mirny,39.73489125,35
Halley VI,-10.71714848,37
McMurdo,4.853890023,10
Davis,35.72453265,27
Syowa,22.83019822,29
Scott Base,4.818061577,10
Vostok,19.14079732,3488
Amundsen-Scott South Pole,0.002846886,2830
Byrd Surface,-15.08363007,1553
Bunger Oasis,39.54388643,29
Matienzo,-36.65903542,32
Novolazarevskaya,6.751435605,102
Fossil Bluff,-29.75097334,92
Yelcho,-38.02487802,10
SANAE IV,-1.558144795,850
Molodezhnaya,27.26304585,40
Palmer,-38.32269332,10
Bellingshausen,-39.96301625,16
Marambio,-36.29006549,209.5
Casey,37.6691688,32
President Eduardo Frei Antrtctic Base,-39.96115409,48
Mizuho,23.07556573,2244.4
Leningradskaya,12.32595787,300
Siple Dome,-7.47561118,730
Rothera,-35.40888559,16
Primavera,-38.10994458,50
Henryk Arctowski,-39.8075764,2
Belgrano II,-11.93674241,256.5
Lieutenant Rodolfo Marsh Martin Aerodrome,-39.97721522,46
Russkaya,-17.98757372,126
Ripamonti,-39.93632729,50
Soyuz,31.0030577,336
Gondwana,7.204861643,20
Comandante Ferraz,-39.87170129,8
Artigas,-39.95660218,17
Carvajal,-35.31261464,92
Great Wall,-39.93801778,10
Asuka,12.94507643,980
Law,34.21342953,65
Mario Zucchelli,7.225561577,15
Druzhnaya IV,33.22547538,20
St. Kliment Ohridski ,-39.94547993,15
Aboa,-6.762939756,400
Mid Point,14.02647879,2520
King Sejong,-39.85666639,10
Progress 3,34.23061228,105
Juan Carlos I,-39.92398878,12
Zhongshan,34.23610826,11
Maitri,6.697411718,117
Machu Picchu,-39.89606033,3.5
Progress,34.22926843,15
Wasa,-6.765488904,440
Pedro Vicente Maldonado,-39.95155892,10
Republica del Ecuador,-39.82519455,10
Troll,1.364855448,1275
Gabriel de Castilla,-39.61262229,15
Dr. Guillermo Mann,-40.33604116,15
Antarctic Receiving Station (GARS),-38.03532671,17
Tor,2.795646443,1
Robert Guillard ,25.48702658,10
Dallmann,-39.78713187,10
Baha Fildes Maritime Station,-39.95882773,10
Professor Julio Escudero,-39.95966528,10
Dome Fuji,14.02413403,3
Vernadsky,-37.71706114,7
Browning Pass,7.346824942,63
Concordia,21.4833463,3233
Sky Blu,-24.78630116,1400
Ruperto Elichiribehety,-37.54526167,2.8
Kohnen,0.02996186,2892
International Field Camp Peninsula Byers,-40.20210483,10
Wilkins Aerodrome,36.82227863,740
Talos Dome,10.48270008,2315
Enigma Lake,7.252180314,250
WAIS Divide,-16.933636,1797
Johann Gregor Mendel,-37.39296968,10
Mountain Evening,27.41475317,95
Princess Elisabeth Antarctica,12.27923119,1
Kunlun,16.2281716,4087
Neumayer III,-4.771238508,43
Bharati,34.15706398,35
Dirck Gerritsz Laboratory,-35.41009572,16
Estacin Polar Cientfica Conjunta Glaciar Unin,-17.63013795,680
Taishan,27.09874949,2621
Jang Bogo,7.202069407,36.6
Shackleton Glacier Camp,-0.703424333,1400